trend, trendClass, trendLength, tokensPerTweet, mentionsPerTweet, hashTagsPerTweet, tweetsWithUrl, tweetsWithReplies, retweetsPerTweet, favoritesPerTweet, urlsPerTweet, mediasPerTweet, tweetsPerUser, uniqueUsersCount, userStatusesPerUser, listedUsersPerUser, userFollowersPerUser, userFriendsPerUser, avgVerifiedUsers
redcarpet_March_3_3,  Event,  9,  5.017543859649122,  0.6140350877192983,  2.8421052631578947,  0.17543859649122806,  0.19298245614035087,  0.0,  0.0,  0.17543859649122806,  0.24561403508771928,  1.0961538461538463,  52,  9383.557692307691,  7.538461538461538,  3999.269230769231,  712.0384615384615,  0.0
wolfofwallstreet_March_3_3,  Event,  16,  6.480769230769231,  0.40384615384615385,  2.0576923076923075,  0.038461538461538464,  0.09615384615384616,  0.0,  0.0,  0.038461538461538464,  0.038461538461538464,  1.04,  50,  3723.02,  2.14,  346.18,  455.96,  0.0
mooneboy_March_3_3,  Event,  8,  4.851851851851852,  0.3148148148148148,  1.3518518518518519,  0.018518518518518517,  0.16666666666666666,  0.0,  0.0,  0.018518518518518517,  0.05555555555555555,  1.3170731707317074,  41,  7452.682926829269,  4.487804878048781,  336.6585365853659,  593.0975609756098,  0.0
naw2014_March_3_3,  Event,  7,  7.185185185185185,  1.0246913580246915,  1.5925925925925926,  0.30864197530864196,  0.24691358024691357,  0.0,  0.0,  0.30864197530864196,  0.1111111111111111,  1.4464285714285714,  56,  6384.767857142857,  32.392857142857146,  1360.125,  968.0714285714286,  0.0
teamleo_March_3_3,  Meme,  7,  5.25,  0.19642857142857142,  1.6785714285714286,  0.017857142857142856,  0.10714285714285714,  0.0,  0.0,  0.017857142857142856,  0.07142857142857142,  2.8,  20,  4641.75,  0.55,  326.15,  399.8,  0.0
troy_March_4_3,  Event,  4,  4.195187165775401,  0.22459893048128343,  0.8181818181818182,  0.0053475935828877,  0.08288770053475936,  0.0,  0.0,  0.0053475935828877,  0.058823529411764705,  1.2103559870550162,  309,  7482.802588996764,  5.485436893203883,  963.9611650485436,  596.9288025889967,  0.003236245954692557
pancakeday_March_4_3,  Meme,  10,  5.2024539877300615,  0.26380368098159507,  2.196319018404908,  0.11042944785276074,  0.06748466257668712,  0.0,  0.0,  0.11042944785276074,  0.37423312883435583,  1.0794701986754967,  151,  4097.390728476821,  3.357615894039735,  305.07284768211923,  439.9205298013245,  0.0
teenwolf_March_4_3,  Event,  8,  4.802816901408451,  0.056338028169014086,  1.0140845070422535,  0.0,  0.028169014084507043,  0.0,  0.0,  0.0,  0.0,  23.666666666666668,  3,  2641.3333333333335,  1.6666666666666667,  234.33333333333334,  781.0,  0.0
strippersch4_March_4_3,  Event,  12,  6.673267326732673,  0.039603960396039604,  1.2376237623762376,  0.009900990099009901,  0.009900990099009901,  0.0,  0.0,  0.009900990099009901,  0.039603960396039604,  1.8035714285714286,  56,  7821.035714285715,  2.232142857142857,  392.48214285714283,  510.4642857142857,  0.0
strippers_March_4_3,  Event,  9,  6.59919028340081,  0.10526315789473684,  0.8704453441295547,  0.004048582995951417,  0.048582995951417005,  0.0,  0.0,  0.004048582995951417,  0.016194331983805668,  1.293193717277487,  191,  10295.057591623037,  5.230366492146596,  567.4921465968587,  585.5392670157069,  0.0
talktalkvip_March_4_3,  Event,  11,  7.855345911949685,  1.0,  1.0,  1.0,  0.0,  0.0,  0.0,  1.0,  0.0,  159.0,  1,  16327.0,  9.0,  1372.0,  944.0,  0.0
thevalleys_March_4_3,  Event,  10,  4.4748603351955305,  0.5754189944134078,  1.2122905027932962,  0.00558659217877095,  0.18435754189944134,  0.0,  0.0,  0.00558659217877095,  0.01675977653631285,  1.1699346405228759,  153,  7702.366013071895,  2.457516339869281,  610.1699346405229,  697.4967320261438,  0.0
vinb_March_5_3,  Event,  4,  7.691449814126394,  0.25650557620817843,  1.3531598513011152,  0.01858736059479554,  0.11152416356877323,  0.0,  0.0,  0.01858736059479554,  0.01858736059479554,  3.5866666666666664,  75,  9709.16,  15.933333333333334,  725.6,  833.5466666666666,  0.0
engvden_March_5_3,  Event,  7,  6.670694864048339,  0.2014098690835851,  1.4793554884189326,  0.01812688821752266,  0.06948640483383686,  0.0,  0.0,  0.01812688821752266,  0.054380664652567974,  1.5091185410334347,  658,  5579.098784194529,  4.272036474164134,  487.5987841945289,  574.1048632218844,  0.0
firstdates_March_5_3,  Event,  10,  5.23,  0.168,  1.208,  0.002,  0.068,  0.0,  0.0,  0.002,  0.018,  1.597444089456869,  313,  8011.246006389776,  3.4696485623003195,  414.7667731629393,  514.7220447284345,  0.003194888178913738
talktalkvip_March_5_3,  Event,  11,  8.819484240687679,  1.3638968481375358,  1.0,  0.02865329512893983,  0.3753581661891118,  0.0,  0.0,  0.02865329512893983,  0.833810888252149,  49.857142857142854,  7,  28852.571428571428,  11.714285714285714,  2064.8571428571427,  1817.857142857143,  0.0
lent2014_March_5_3,  Event,  8,  6.657258064516129,  0.25,  1.6008064516129032,  0.08870967741935484,  0.13709677419354838,  0.0,  0.0,  0.08870967741935484,  0.07258064516129033,  1.117117117117117,  222,  5532.4009009009005,  7.31981981981982,  867.5585585585585,  608.8918918918919,  0.0
lent_March_5_3,  Event,  4,  7.200122025625381,  0.2226967663209274,  0.4368517388651617,  0.013117754728492984,  0.12507626601586333,  0.0,  0.0,  0.013117754728492984,  0.03569249542403905,  1.0933955970647098,  2998,  8274.237491661108,  4.4589726484322885,  615.7608405603736,  569.1244162775183,  3.33555703802535E-4
100happydays_March_5_3,  Meme,  12,  6.0220994475138125,  0.16022099447513813,  1.839779005524862,  0.18232044198895028,  0.011049723756906077,  0.0,  0.0,  0.18232044198895028,  0.712707182320442,  1.0838323353293413,  167,  3584.377245508982,  2.125748502994012,  273.3293413173653,  394.62874251497004,  0.0
englandvdenmark_March_5_3,  Event,  15,  5.908713692946058,  0.11203319502074689,  1.6244813278008299,  0.01867219917012448,  0.043568464730290454,  0.0,  0.0,  0.01867219917012448,  0.058091286307053944,  1.2650918635170603,  381,  4621.173228346457,  3.4855643044619424,  706.8556430446195,  835.496062992126,  0.0
selfie_March_5_3,  Meme,  6,  5.413400758533502,  0.6359039190897599,  0.8255372945638433,  0.10998735777496839,  0.3109987357774968,  0.0,  0.0,  0.10998735777496839,  0.5094816687737042,  1.1109550561797752,  712,  10449.115168539325,  8.044943820224718,  947.9887640449438,  730.4845505617977,  0.0014044943820224719
ashwednesday_March_5_3,  Meme,  12,  5.110552763819095,  0.34673366834170855,  1.879396984924623,  0.135678391959799,  0.10552763819095477,  0.0,  0.0,  0.135678391959799,  0.20100502512562815,  1.1371428571428572,  175,  7469.72,  8.714285714285714,  842.0057142857142,  711.4514285714286,  0.0
ukraine_March_5_3,  Event,  7,  8.859213250517598,  0.5341614906832298,  0.7556935817805382,  0.21325051759834368,  0.2608695652173913,  0.0,  0.0,  0.2194616977225673,  0.10973084886128365,  1.1896551724137931,  406,  10807.0960591133,  15.071428571428571,  1137.0960591133005,  741.4876847290641,  0.0024630541871921183
russia_March_5_3,  Event,  6,  8.805389221556887,  0.40718562874251496,  0.8323353293413174,  0.1497005988023952,  0.26646706586826346,  0.0,  0.0,  0.15568862275449102,  0.09281437125748503,  1.1322033898305084,  295,  11581.128813559322,  11.88135593220339,  1188.3254237288136,  896.271186440678,  0.006779661016949152
iphoneography_March_5_3,  Meme,  13,  7.9296875,  0.0,  2.921875,  0.9921875,  0.0,  0.0,  0.0,  0.9921875,  0.0078125,  32.0,  4,  7449.0,  13.0,  540.75,  1099.25,  0.0
lineofduty_March_5_3,  Event,  10,  6.044117647058823,  0.375,  1.3676470588235294,  0.014705882352941176,  0.14705882352941177,  0.0,  0.0,  0.014705882352941176,  0.014705882352941176,  1.4782608695652173,  92,  8245.239130434782,  9.391304347826088,  963.0760869565217,  614.1521739130435,  0.0
